saldo_cuenta,meses,historia_crediticia,uso,cantidad,saldo_cuenta_ahorro,años_trabajando,tasa_de_interes,genero_estado_civil,aval,años_actual_domicilio,activos,edad,planes_de_pago,casa,numero_creditos,situacion_laboral,dependientes_economicos,telefono,extranjero,credito_pagado
menor_a_cero,6,no_ha_pagado,TV,1169,,mas_de_7,4,hombre_soltero,,4,bienes_raices,67,,propia,2,gobierno,1,1,1,1
cero_a_200,48,pago_algun_credito,TV,5951,menor_100,1_a_4,2,mujer_no_soltera,,2,bienes_raices,22,,propia,1,gobierno,1,0,1,0
sin_cuenta,12,no_ha_pagado,colegiaturas,2096,menor_100,4_a_7,2,hombre_soltero,,3,bienes_raices,49,,propia,1,obrero,2,0,1,1
menor_a_cero,42,pago_algun_credito,mobiliario,7882,menor_100,4_a_7,2,hombre_soltero,aval,4,seguro_vida,45,,prestada,1,gobierno,2,0,1,1
menor_a_cero,24,pago_retrasado,coche_nuevo,4870,menor_100,1_a_4,3,hombre_soltero,,4,sin_activos,53,,prestada,2,gobierno,2,0,1,0
sin_cuenta,36,pago_algun_credito,colegiaturas,9055,,1_a_4,2,hombre_soltero,,4,sin_activos,35,,prestada,1,obrero,2,1,1,1
sin_cuenta,24,pago_algun_credito,mobiliario,2835,500_a_1000,mas_de_7,3,hombre_soltero,,4,seguro_vida,53,,propia,1,gobierno,1,0,1,1
cero_a_200,36,pago_algun_credito,coche_usado,6948,menor_100,1_a_4,2,hombre_soltero,,2,otro_tipo,35,,renta,1,administrativo,1,1,1,1
sin_cuenta,12,pago_algun_credito,TV,3059,mas_de_1000,4_a_7,2,hombre_divorciado,,4,bienes_raices,61,,propia,1,obrero,1,0,1,1
cero_a_200,30,no_ha_pagado,coche_nuevo,5234,menor_100,desempleado,4,hombre_divorciado,,2,otro_tipo,28,,propia,2,administrativo,1,0,1,0
cero_a_200,12,pago_algun_credito,coche_nuevo,1295,menor_100,menor_a_1,3,mujer_no_soltera,,1,otro_tipo,25,,renta,1,gobierno,1,0,1,0
menor_a_cero,48,pago_algun_credito,poner_negocio,4308,menor_100,menor_a_1,3,mujer_no_soltera,,4,seguro_vida,24,,renta,1,gobierno,1,0,1,0
cero_a_200,12,pago_algun_credito,TV,1567,menor_100,1_a_4,1,mujer_no_soltera,,1,otro_tipo,22,,propia,1,gobierno,1,1,1,1
menor_a_cero,24,no_ha_pagado,coche_nuevo,1199,menor_100,mas_de_7,4,hombre_soltero,,4,otro_tipo,60,,propia,2,obrero,1,0,1,0
menor_a_cero,15,pago_algun_credito,coche_nuevo,1403,menor_100,1_a_4,2,mujer_no_soltera,,4,otro_tipo,28,,renta,1,gobierno,1,0,1,1
menor_a_cero,24,pago_algun_credito,TV,1282,100_a_500,1_a_4,4,mujer_no_soltera,,2,otro_tipo,32,,propia,1,obrero,1,0,1,0
