satisfaccion,evaluacion,proyectos,promedio_horas_mes,semestre,accidente,renunciar,ascenso_5years,departamento,salario
3.8,5.3,2,157,3,0,1,0,ventas,bajo
8,8.6,5,262,6,0,1,0,ventas,medio
1.1,8.8,7,272,4,0,1,0,ventas,medio
7.2,8.7,5,223,5,0,1,0,ventas,bajo
3.7,5.2,2,159,3,0,1,0,ventas,bajo
4.1,5,2,153,3,0,1,0,ventas,bajo
1,7.7,6,247,4,0,1,0,ventas,bajo
9.2,8.5,5,259,5,0,1,0,ventas,bajo
8.9,10,5,224,5,0,1,0,ventas,bajo
4.2,5.3,2,142,3,0,1,0,ventas,bajo
4.5,5.4,2,135,3,0,1,0,ventas,bajo
1.1,8.1,6,305,4,0,1,0,ventas,bajo
8.4,9.2,4,234,5,0,1,0,ventas,bajo
4.1,5.5,2,148,3,0,1,0,ventas,bajo
3.6,5.6,2,137,3,0,1,0,ventas,bajo
3.8,5.4,2,143,3,0,1,0,ventas,bajo
4.5,4.7,2,160,3,0,1,0,ventas,bajo
7.8,9.9,4,255,6,0,1,0,ventas,bajo
4.5,5.1,2,160,3,1,1,1,ventas,bajo
7.6,8.9,5,262,5,0,1,0,ventas,bajo
1.1,8.3,6,282,4,0,1,0,ventas,bajo
3.8,5.5,2,147,3,0,1,0,ventas,bajo
0.9,9.5,6,304,4,0,1,0,ventas,bajo
4.6,5.7,2,139,3,0,1,0,ventas,bajo
4,5.3,2,158,3,0,1,0,ventas,bajo
8.9,9.2,5,242,5,0,1,0,ventas,bajo
8.2,8.7,4,239,5,0,1,0,ventas,bajo
4,4.9,2,135,3,0,1,0,ventas,bajo
4.1,4.6,2,128,3,0,1,0,contabilidad,bajo
3.8,5,2,132,3,0,1,0,contabilidad,bajo
0.9,6.2,6,294,4,0,1,0,contabilidad,bajo
4.5,5.7,2,134,3,0,1,0,recursos humanos,bajo
4,5.1,2,145,3,0,1,0,recursos humanos,bajo
4.5,5.5,2,140,3,0,1,0,recursos humanos,bajo
8.4,8.7,4,246,6,0,1,0,recursos humanos,bajo
1,9.4,6,255,4,0,1,0,mantenimiento,bajo
3.8,4.6,2,137,3,0,1,0,mantenimiento,bajo
4.5,5,2,126,3,0,1,0,mantenimiento,bajo
1.1,8.9,6,306,4,0,1,0,mantenimiento,bajo
4.1,5.4,2,152,3,0,1,0,mantenimiento,bajo
8.7,8.8,5,269,5,0,1,0,mantenimiento,bajo
4.5,4.8,2,158,3,0,1,0,mantenimiento,bajo
4,4.6,2,127,3,0,1,0,mantenimiento,bajo
1,8,7,281,4,0,1,0,mantenimiento,bajo
0.9,8.9,6,276,4,0,1,0,mantenimiento,bajo
8.4,7.4,3,182,4,0,1,0,mantenimiento,bajo
4,5.5,2,147,3,0,1,0,soporte,bajo
5.7,7,3,273,6,0,1,0,soporte,bajo
4,5.4,2,148,3,0,1,0,soporte,bajo
4.3,4.7,2,147,3,0,1,0,soporte,bajo
1.3,7.8,6,152,2,0,1,0,soporte,bajo
4.4,5.5,2,135,3,0,1,0,soporte,bajo
3.8,5.5,2,134,3,0,1,0,soporte,bajo
3.9,5.4,2,132,3,0,1,0,soporte,bajo
1,9.2,7,307,4,0,1,0,soporte,bajo
3.7,4.6,2,140,3,0,1,0,soporte,bajo
1.1,9.4,7,255,4,0,1,0,soporte,bajo
1,8.1,6,309,4,0,1,0,mantenimiento,bajo
3.8,5.4,2,128,3,0,1,0,mantenimiento,bajo
8.5,10,4,225,5,0,1,0,mantenimiento,bajo
8.5,9.1,5,226,5,0,1,0,administración,medio
1.1,9.3,7,308,4,0,1,0,#N/D,medio
1,9.5,6,244,5,0,1,0,#N/D,medio
3.6,5.6,2,132,3,0,1,0,#N/D,medio
1.1,9.4,6,286,4,0,1,0,#N/D,medio
8.1,7,6,161,4,0,1,0,#N/D,medio
4.3,5.4,2,153,3,0,1,0,#N/D,medio
9,9.8,4,264,6,0,1,0,#N/D,medio
7.6,8.6,5,223,5,1,1,0,#N/D,medio
4.3,5,2,135,3,0,1,0,#N/D,medio
7.4,9.9,2,277,3,0,1,0,#N/D,medio
0.9,7.7,5,275,4,0,1,0,#N/D,medio
4.5,4.9,2,149,3,0,1,0,#N/D,alto
0.9,8.7,7,295,4,0,1,0,#N/D,bajo
1.1,9.7,6,277,4,0,1,0,#N/D,medio
1.1,7.9,7,306,4,0,1,0,#N/D,medio
1,8.3,6,295,4,0,1,0,#N/D,medio
4,5.4,2,137,3,0,1,0,mercadotecnia,medio
4.3,5.6,2,157,3,0,1,0,ventas,bajo
3.9,5.6,2,142,3,0,1,0,contabilidad,bajo
4.5,5.4,2,140,3,0,1,0,soporte,bajo
3.8,4.9,2,151,3,0,1,0,mantenimiento,bajo
7.9,5.9,4,139,3,0,1,1,administración,bajo
8.4,8.5,4,249,6,0,1,0,mercadotecnia,bajo
1.1,7.7,6,291,4,0,1,0,mercadotecnia,bajo
1.1,8.7,6,305,4,0,1,0,mercadotecnia,bajo
1.7,8.4,5,232,3,0,1,0,ventas,bajo
4.4,4.5,2,132,3,0,1,0,ventas,bajo
3.7,5.7,2,130,3,0,1,0,ventas,bajo
1,7.9,6,291,4,0,1,0,ventas,bajo
4,5,2,130,3,0,1,0,ventas,bajo
8.9,10,5,246,5,0,1,0,ventas,bajo
4.2,4.8,2,143,3,0,1,0,ventas,bajo
4.6,5.5,2,129,3,0,1,0,ventas,bajo
0.9,8.3,6,255,4,0,1,0,ventas,bajo
3.7,5.1,2,155,3,0,1,0,ventas,bajo
1,7.7,6,265,4,0,1,0,ventas,bajo
1,8.4,6,279,4,0,1,0,ventas,bajo
1.1,9.7,6,284,4,0,1,0,ventas,bajo
9,10,5,221,6,0,1,0,ventas,medio
3.8,5.2,2,154,3,0,1,0,ventas,medio
3.6,5.2,2,147,3,0,1,0,ventas,medio
4.2,4.6,2,150,3,0,1,0,ventas,medio
0.9,9.4,7,267,4,0,1,0,ventas,medio
4.3,5.2,2,158,3,0,1,0,ventas,medio
2.4,4.6,7,224,5,0,1,0,contabilidad,medio
9.1,10,4,257,5,0,1,0,contabilidad,medio
4.4,5,2,148,3,0,1,0,contabilidad,medio
7.1,8.7,3,177,4,0,1,0,recursos humanos,medio
4,4.9,2,155,3,0,1,0,recursos humanos,medio
4.3,4.7,2,144,3,0,1,0,recursos humanos,medio
0.9,8.5,6,289,4,0,1,0,recursos humanos,alto
4.3,5.2,2,160,3,0,1,0,mantenimiento,bajo
9,9.6,4,258,5,0,1,0,mantenimiento,medio
8.4,10,5,234,5,0,1,0,mantenimiento,medio
3.7,4.8,2,137,3,0,1,0,mantenimiento,medio
8.6,6.8,5,263,2,0,1,0,mantenimiento,medio
1.1,8.4,6,251,4,0,1,0,mantenimiento,bajo
3.7,5.7,2,133,3,0,1,0,mantenimiento,bajo
4,4.6,2,132,3,0,1,0,mantenimiento,bajo
1.4,6.2,4,158,4,1,1,0,mantenimiento,bajo
4,4.6,2,135,3,0,1,0,mantenimiento,bajo
7.5,10,4,216,6,0,1,0,mantenimiento,bajo
1.1,8.4,6,300,5,1,1,0,soporte,bajo
4.6,4.9,2,138,3,0,1,0,soporte,bajo
1.1,9.2,6,260,4,0,1,0,soporte,bajo
3.8,4.9,2,132,3,0,1,0,soporte,bajo
7,8.9,3,183,5,0,1,0,soporte,bajo
0.9,8.2,6,250,4,0,1,0,soporte,bajo
3.7,4.5,2,151,3,0,1,0,soporte,bajo
1,8.3,6,292,4,0,1,0,soporte,bajo
3.8,5.7,2,140,3,0,1,0,soporte,bajo
9,10,5,221,5,0,1,0,soporte,bajo
4.4,5.1,2,138,3,0,1,0,soporte,bajo
3.6,5,2,132,3,0,1,0,mantenimiento,bajo
3.1,8.4,7,133,5,0,1,0,mantenimiento,bajo
1,8.4,6,283,4,1,1,0,mantenimiento,bajo
4.2,4.8,2,129,3,0,1,0,administración,bajo
7.4,10,4,249,5,0,1,0,#N/D,bajo
7.3,8.7,5,257,5,0,1,0,#N/D,bajo
0.9,9.6,6,245,4,0,1,0,#N/D,bajo
4.5,5.3,2,155,3,0,1,0,#N/D,bajo
1.1,8,6,256,4,0,1,0,#N/D,bajo
3.7,4.7,2,152,3,0,1,0,#N/D,bajo
8.4,9.9,4,267,5,0,1,0,#N/D,bajo
4.1,4.6,2,151,3,0,1,0,#N/D,bajo
7.6,9.2,4,239,5,0,1,0,#N/D,bajo
1.1,8.7,6,306,4,0,1,0,#N/D,bajo
8.4,8.8,4,263,5,1,1,0,mercadotecnia,bajo
3.9,5,2,147,3,0,1,0,mercadotecnia,bajo
1.1,9.1,6,278,4,0,1,0,mercadotecnia,bajo
