title,description,release_year,rental_rate,length,rating,special_features,category
Academy Dinosaur,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,0.99,86,PG,"Deleted Scenes,Behind the Scenes",Documentary
Ace Goldfinger,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,4.99,48,G,"Trailers,Deleted Scenes",Horror
Adaptation Holes,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,2.99,50,NC-17,"Trailers,Deleted Scenes",Documentary
Affair Prejudice,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,2.99,117,G,"Commentaries,Behind the Scenes",Horror
African Egg,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,2006,2.99,130,G,Deleted Scenes,Family
Agent Truman,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2006,2.99,169,PG,Deleted Scenes,Foreign
Airplane Sierra,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,2006,4.99,62,PG-13,"Trailers,Deleted Scenes",Comedy
Airport Pollock,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,2006,4.99,54,R,Trailers,Horror
Alabama Devil,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2006,2.99,114,PG-13,"Trailers,Deleted Scenes",Horror
Aladdin Calendar,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006,4.99,63,NC-17,"Trailers,Deleted Scenes",Sports
Alamo Videotape,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,2006,0.99,126,G,"Commentaries,Behind the Scenes",Foreign
Alaska Phantom,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,2006,0.99,136,PG,"Commentaries,Deleted Scenes",Music
Ali Forever,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,2006,4.99,150,PG,"Deleted Scenes,Behind the Scenes",Horror
Alice Fantasia,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,2006,0.99,94,NC-17,"Trailers,Deleted Scenes,Behind the Scenes",Classics
Alien Center,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,2006,2.99,46,NC-17,"Trailers,Commentaries,Behind the Scenes",Foreign
Alley Evolution,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,2006,2.99,180,NC-17,"Trailers,Commentaries",Foreign
Alone Trip,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,2006,0.99,82,R,"Trailers,Behind the Scenes",Music
Alter Victory,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,2006,0.99,57,PG-13,"Trailers,Behind the Scenes",Animation
