Año,Mes,Ventas,Gasto
2010,Enero,1056,533
2010,Febrero,910,496
2010,Marzo,1095,695
2010,Abril,1157,599
2010,Mayo,969,490
2010,Junio,887,533
2010,Julio,811,438
2010,Agosto,1060,645
2010,Septiembre,888,549
2010,Octubre,1124,563
2010,Noviembre,1122,718
2010,Diciembre,936,497
2011,Enero,1242,727
2011,Febrero,879,471
2011,Marzo,1196,766
2011,Abril,1179,786
2011,Mayo,1065,764
2011,Junio,999,629
2011,Julio,1188,765
2011,Agosto,1202,763
2011,Septiembre,1136,597
2011,Octubre,936,539
2011,Noviembre,874,493
2011,Diciembre,882,506
2012,Enero,1162,709
2012,Febrero,1045,603
2012,Marzo,1000,732
2012,Abril,1168,773
2012,Mayo,957,659
2012,Junio,954,585
2012,Julio,1318,882
2012,Agosto,1128,765
2012,Septiembre,1254,875
2012,Octubre,983,530
2012,Noviembre,1021,602
2012,Diciembre,975,715
2013,Enero,1332,824
2013,Febrero,1230,783
2013,Marzo,1350,878
2013,Abril,1049,633
2013,Mayo,1186,720
2013,Junio,1197,894
2013,Julio,1111,664
2013,Agosto,1388,918
2013,Septiembre,968,542
2013,Octubre,977,672
2013,Noviembre,1293,830
2013,Diciembre,956,605
2014,Enero,1457,1001
2014,Febrero,1445,1101
2014,Marzo,978,715
2014,Abril,1304,898
2014,Mayo,1102,785
2014,Junio,1027,684
2014,Julio,1193,935
2014,Agosto,1398,877
2014,Septiembre,1216,739
2014,Octubre,1416,1083
2014,Noviembre,1118,796
2014,Diciembre,1268,763
2015,Enero,1410,1004
2015,Febrero,1419,1006
2015,Marzo,1021,675
2015,Abril,1031,828
2015,Mayo,1470,1146
2015,Junio,1178,705
2015,Julio,1469,1186
2015,Agosto,1065,744
2015,Septiembre,1056,806
2015,Octubre,1412,869
2015,Noviembre,1264,902
2015,Diciembre,1156,913
2016,Enero,1299,851
2016,Febrero,1361,1062
2016,Marzo,1180,802
2016,Abril,1606,1222
2016,Mayo,1307,953
2016,Junio,1137,748
2016,Julio,1253,935
2016,Agosto,1195,786
2016,Septiembre,1110,840
2016,Octubre,1195,983
2016,Noviembre,1533,952
2016,Diciembre,1200,919
2017,Enero,1246,818
2017,Febrero,1652,1265
2017,Marzo,1392,1140
2017,Abril,1580,1060
2017,Mayo,1180,863
2017,Junio,1364,1009
2017,Julio,1536,1215
2017,Agosto,1680,1088
2017,Septiembre,1352,957
2017,Octubre,1611,1104
2017,Noviembre,1233,906
2017,Diciembre,1363,944
2018,Enero,1330,1171
2018,Febrero,1444,1249
2018,Marzo,1507,989
2018,Abril,1773,1522
2018,Mayo,1755,1547
2018,Junio,1684,1155
2018,Julio,1469,1026
2018,Agosto,1419,934
2018,Septiembre,1406,1261
2018,Octubre,1339,1131
2018,Noviembre,1451,1091
2018,Diciembre,1748,1572
2019,Enero,1586,1355
2019,Febrero,1337,993
2019,Marzo,1842,1506
2019,Abril,1578,1361
2019,Mayo,1277,1045
2019,Junio,1553,1383
2019,Julio,1339,1230
2019,Agosto,1291,921
2019,Septiembre,1610,1358
2019,Octubre,1387,965
2019,Noviembre,1794,1308
2019,Diciembre,1610,1334
2020,Enero,1576,1332
2020,Febrero,1644,1547
2020,Marzo,1436,1266
2020,Abril,1459,1158
2020,Mayo,1741,1336
2020,Junio,1509,1345
2020,Julio,1350,1095
2020,Agosto,1954,1872
2020,Septiembre,1351,1004
2020,Octubre,1476,1389
2020,Noviembre,1877,1738
2020,Diciembre,1544,1124
2021,Enero,1939,1756
2021,Febrero,1787,1762
2021,Marzo,1816,1288
2021,Abril,1927,1526
2021,Mayo,1822,1772
2021,Junio,1460,1080
2021,Julio,1441,1245
2021,Agosto,1555,1365
2021,Septiembre,1859,1422
2021,Octubre,1802,1409
2021,Noviembre,1702,1640
2021,Diciembre,1947,1428
2022,Enero,1741,1411
2022,Febrero,1439,1374
2022,Marzo,1894,1527
2022,Abril,1969,1754
2022,Mayo,1744,1277
2022,Junio,1491,1472
2022,Julio,2086,1854
2022,Agosto,2036,1832
2022,Septiembre,1543,1183
2022,Octubre,1658,1645
2022,Noviembre,2009,1970
2022,Diciembre,2082,1647
2023,Enero,1697,1330
2023,Febrero,2097,2137
2023,Marzo,1815,1706
2023,Abril,1625,1679
2023,Mayo,2161,2262
2023,Junio,2120,2159
2023,Julio,1527,1489
2023,Agosto,1759,1818
2023,Septiembre,2114,2142
2023,Octubre,2120,1767
2023,Noviembre,2102,1652
2023,Diciembre,2166,2192
